ticker,sector
IDXX,Healthcare
VLO,Energy
PCAR,Industrials
ROST,Consumer Cyclical
EA,Communication Services
FAST,Industrials
CARR,Industrials
SLB,Energy
GRMN,Technology
EXC,Utilities
XEL,Utilities
MPWR,Technology
TTWO,Communication Services
XYZ,Technology
CBRE,Real Estate
DHI,Consumer Cyclical
F,Consumer Cyclical
PAYX,Technology
AIG,Financial Services
STX,Technology
GWW,Industrials
AMP,Financial Services
KR,Consumer Defensive
WBD,Communication Services
BKR,Energy
OKE,Energy
CPRT,Industrials
ETR,Utilities
EW,Healthcare
AME,Industrials
CTVA,Basic Materials
CCI,Real Estate
MSCI,Financial Services
OXY,Energy
EBAY,Consumer Cyclical
FANG,Energy
VMC,Basic Materials
PEG,Utilities
TGT,Consumer Defensive
DAL,Industrials
WDC,Technology
YUM,Consumer Cyclical
FICO,Technology
KMB,Consumer Defensive
MLM,Basic Materials
RMD,Healthcare
A,Healthcare
ROK,Industrials
CCL,Consumer Cyclical
HSY,Consumer Defensive
SYY,Consumer Defensive
WEC,Utilities
ED,Utilities
HIG,Financial Services
CHTR,Communication Services
CAH,Healthcare
PRU,Financial Services
PCG,Utilities
KDP,Consumer Defensive
XYL,Industrials
OTIS,Industrials
FIS,Technology
MCHP,Technology
LYV,Communication Services
IQV,Healthcare
EL,Consumer Defensive
ACGL,Financial Services
VRSK,Industrials
UAL,Industrials
EQT,Energy
WAB,Industrials
WTW,Financial Services
HPE,Technology
GEHC,Healthcare
LVS,Consumer Cyclical
CTSH,Technology
VICI,Real Estate
DD,Basic Materials
STT,Financial Services
TRGP,Energy
NRG,Utilities
SMCI,Technology
RJF,Financial Services
CSGP,Real Estate
NUE,Basic Materials
IBKR,Financial Services
LEN,Consumer Cyclical
HUM,Healthcare
IR,Industrials
KVUE,Consumer Defensive
BRO,Financial Services
EXR,Real Estate
VTR,Real Estate
IRM,Real Estate
EME,Industrials
ADM,Consumer Defensive
KHC,Consumer Defensive
WRB,Financial Services
TSCO,Consumer Cyclical
DTE,Utilities
MTB,Financial Services
K,Consumer Defensive
ODFL,Industrials
KEYS,Technology
FITB,Financial Services
ATO,Utilities
EFX,Industrials
AEE,Utilities
PPL,Utilities
EXPE,Consumer Cyclical
AWK,Utilities
ROL,Consumer Cyclical
BR,Technology
FE,Utilities
HPQ,Technology
SYF,Financial Services
TDY,Technology
MTD,Healthcare
AVB,Real Estate
ES,Utilities
DXCM,Healthcare
GIS,Consumer Defensive
CNP,Utilities
VLTO,Industrials
TTD,Communication Services
PHM,Consumer Cyclical
CBOE,Financial Services
VRSN,Technology
CINF,Financial Services
IP,Consumer Cyclical
FSLR,Technology
STZ,Consumer Defensive
TPR,Consumer Cyclical
NTRS,Financial Services
ULTA,Consumer Cyclical
EXE,Energy
LDOS,Technology
PTC,Technology
HBAN,Financial Services
NTAP,Technology
EQR,Real Estate
STE,Healthcare
TROW,Financial Services
WSM,Consumer Cyclical
LH,Healthcare
DG,Consumer Defensive
HUBB,Industrials
CFG,Financial Services
PPG,Basic Materials
RF,Financial Services
DOV,Industrials
PODD,Healthcare
TER,Technology
CMS,Utilities
SW,Consumer Cyclical
TYL,Technology
JBL,Technology
DRI,Consumer Cyclical
EIX,Utilities
STLD,Basic Materials
BIIB,Healthcare
NVR,Consumer Cyclical
L,Financial Services
CHD,Consumer Defensive
GPN,Industrials
TPL,Energy
DVN,Energy
DLTR,Consumer Defensive
ON,Technology
DGX,Healthcare
SBAC,Real Estate
NI,Utilities
LULU,Consumer Cyclical
CPAY,Technology
WAT,Healthcare
KEY,Financial Services
CDW,Technology
RL,Consumer Cyclical
HAL,Energy
FFIV,Technology
ZBH,Healthcare
PSKY,Communication Services
J,Industrials
PKG,Consumer Cyclical
TSN,Consumer Defensive
WST,Healthcare
AMCR,Consumer Cyclical
IT,Technology
GPC,Consumer Cyclical
TRMB,Technology
LII,Industrials
GDDY,Technology
PNR,Industrials
APTV,Consumer Cyclical
PFG,Financial Services
EVRG,Utilities
CNC,Healthcare
CTRA,Energy
MKC,Consumer Defensive
LUV,Industrials
SNA,Industrials
LNT,Utilities
INVH,Real Estate
BG,Consumer Defensive
WY,Real Estate
ESS,Real Estate
ERIE,Financial Services
INCY,Healthcare
GEN,Technology
FTV,Technology
BBY,Consumer Cyclical
IFF,Basic Materials
EXPD,Industrials
DOW,Basic Materials
TKO,Communication Services
MAA,Real Estate
OMC,Communication Services
TXT,Industrials
LYB,Basic Materials
ALLE,Industrials
CHRW,Industrials
ZBRA,Technology
EG,Financial Services
DECK,Consumer Cyclical
KIM,Real Estate
CLX,Consumer Defensive
HOLX,Healthcare
MAS,Industrials
DPZ,Consumer Cyclical
COO,Healthcare
BLDR,Industrials
CF,Basic Materials
JBHT,Industrials
HRL,Consumer Defensive
NDSN,Industrials
BF.B,Consumer Defensive
UHS,Healthcare
BALL,Consumer Cyclical
ARE,Real Estate
REG,Real Estate
DOC,Real Estate
AVY,Consumer Cyclical
SOLV,Healthcare
FOX,Communication Services
FOXA,Communication Services
IEX,Industrials
WYNN,Consumer Cyclical
UDR,Real Estate
BEN,Financial Services
BAX,Healthcare
VTRS,Healthcare
HII,Industrials
ALB,Basic Materials
PAYC,Technology
GL,Financial Services
HST,Real Estate
PNW,Utilities
JKHY,Technology
AIZ,Financial Services
BXP,Real Estate
CPT,Real Estate
GNRC,Industrials
SWKS,Technology
NCLH,Consumer Cyclical
SJM,Consumer Defensive
FDS,Financial Services
POOL,Industrials
DAY,Technology
AKAM,Technology
SWK,Industrials
RVTY,Healthcare
IVZ,Financial Services
MOH,Healthcare
AES,Utilities
HAS,Consumer Cyclical
MRNA,Healthcare
NWSA,Communication Services
IPG,Communication Services
AOS,Industrials
MOS,Basic Materials
ALGN,Healthcare
TAP,Consumer Defensive
TECH,Healthcare
DVA,Healthcare
CPB,Consumer Defensive
LW,Consumer Defensive
MGM,Consumer Cyclical
CAG,Consumer Defensive
FRT,Real Estate
CRL,Healthcare
APA,Energy
EPAM,Technology
MHK,Consumer Cyclical
MTCH,Communication Services
HSIC,Healthcare
LKQ,Consumer Cyclical
EMN,Basic Materials
KMX,Consumer Cyclical
NWS,Communication Services
